1|6|4|5|5|5|False|4|Bilo je jako lepo
1|6|4|5|5|5|False|4|Bilo je jako lepo
2|3|34|5|5|5|True|4|kdodo
3|3|35|5|5|5|True|4|dodoko
4|3|36|5|4|4|True|4|dok
5|3|37|5|5|5|True|4|koskow
6|3|38|5|4|4|True|4|dijwi
7|3|39|5|5|5|True|4|ssok
8|3|40|5|5|5|True|4|koskos
9|3|41|4|5|5|True|4|skwod
10|3|42|5|5|5|True|4|okdok
11|3|43|5|4|5|True|4|kdok
12|3|44|4|5|5|True|4|jokfo
13|3|45|5|5|5|True|4|fwe
14|3|46|5|5|5|True|4|kfokfoe
15|3|47|5|5|5|True|4|fkpkfo
16|3|48|5|5|5|True|4|feeeeeeeees
17|3|49|4|5|5|True|4|kokoe
18|3|50|5|5|5|True|4|cfof
19|3|51|5|5|5|True|4|oooof
20|3|52|5|5|5|True|4|ccccccccc
21|3|53|5|5|5|True|4|ssss
22|3|4|5|5|5|True|4|It was the best thing ever. One of the best experiences of mmy life. Belgrade is such a beautiful city which I will be sure to visit again in the future!
23|3|4|5|2|2|True|4|cool
24|3|39|3|2|1|True|4|whatever
25|3|54|3|3|4|True|4|This tour was very fun!
26|3|53|4|4|4|True|4|I really enjoyed this tour! It was SO amazing!
27|3|52|5|5|5|True|4|It was so much fun!
